end_id,end_label,start_id,start_label,rel_id,surface_text,weight,dataset
/c/en/anchor/n/wn/artifact,anchor,/c/en/mooring_anchor/n/wn/artifact,mooring anchor,/r/IsA,[[mooring anchor]] is a type of [[anchor]],2.0,/d/wordnet/3.1
/c/en/anchor/v/wn/contact,anchor,/c/en/cast_anchor/v/wn/contact,cast anchor,/r/Synonym,[[cast anchor]] is a synonym of [[anchor]],2.0,/d/wordnet/3.1
/c/en/anchor/n/wn/person,anchor,/c/en/anchorperson/n/wn/person,anchorperson,/r/Synonym,[[anchorperson]] is a synonym of [[anchor]],2.0,/d/wordnet/3.1
/c/en/anchor/n/wn/cognition,anchor,/c/en/mainstay/n/wn/cognition,mainstay,/r/Synonym,[[mainstay]] is a synonym of [[anchor]],2.0,/d/wordnet/3.1
/c/en/anchor/n/wn/cognition,anchor,/c/en/backbone/n/wn/cognition,backbone,/r/Synonym,[[backbone]] is a synonym of [[anchor]],2.0,/d/wordnet/3.1
/c/en/anchor/n/wn/artifact,anchor,/c/en/grapnel/n/wn/artifact,grapnel,/r/IsA,[[grapnel]] is a type of [[anchor]],2.0,/d/wordnet/3.1
/c/en/anchor/n/wn/cognition,anchor,/c/en/lynchpin/n/wn/cognition,lynchpin,/r/Synonym,[[lynchpin]] is a synonym of [[anchor]],2.0,/d/wordnet/3.1
/c/en/anchor/n/wn/person,anchor,/c/en/anchorman/n/wn/person,anchorman,/r/Synonym,[[anchorman]] is a synonym of [[anchor]],2.0,/d/wordnet/3.1
/c/en/anchor/n/wn/artifact,anchor,/c/en/mushroom_anchor/n/wn/artifact,mushroom anchor,/r/IsA,[[mushroom anchor]] is a type of [[anchor]],2.0,/d/wordnet/3.1
/c/en/anchor/n/wn/artifact,anchor,/c/en/ground_tackle/n/wn/artifact,ground tackle,/r/Synonym,[[ground tackle]] is a synonym of [[anchor]],2.0,/d/wordnet/3.1
/c/en/vessel/n/wn/artifact,vessel,/c/en/anchor/n/wn/artifact,anchor,/r/PartOf,[[anchor]] is a part of [[vessel]],2.0,/d/wordnet/3.1
/c/en/anchor/n/wn/artifact,anchor,/c/en/fluke/n/wn/artifact,fluke,/r/PartOf,[[fluke]] is a part of [[anchor]],2.0,/d/wordnet/3.1
/c/en/anchor/n/wn/artifact,anchor,/c/en/shank/n/wn/artifact,shank,/r/PartOf,[[shank]] is a part of [[anchor]],2.0,/d/wordnet/3.1
/c/en/support/n/wn/cognition,support,/c/en/anchor/n/wn/cognition,anchor,/r/IsA,[[anchor]] is a type of [[support]],2.0,/d/wordnet/3.1
/c/en/anchor/n/wn/cognition,anchor,/c/en/linchpin/n/wn/cognition,linchpin,/r/Synonym,[[linchpin]] is a synonym of [[anchor]],2.0,/d/wordnet/3.1
/c/en/hook/n/wn/artifact,hook,/c/en/anchor/n/wn/artifact,anchor,/r/IsA,[[anchor]] is a type of [[hook]],2.0,/d/wordnet/3.1
/c/en/television_reporter/n/wn/person,television reporter,/c/en/anchor/n/wn/person,anchor,/r/IsA,[[anchor]] is a type of [[television reporter]],2.0,/d/wordnet/3.1
/c/en/anchor/n/wn/cognition,anchor,/c/en/keystone/n/wn/cognition,keystone,/r/Synonym,[[keystone]] is a synonym of [[anchor]],2.0,/d/wordnet/3.1
/c/en/fasten/v/wn/contact,fasten,/c/en/anchor/v/wn/contact,anchor,/r/MannerOf,[[anchor]] is a way to [[fasten]],2.0,/d/wordnet/3.1
/c/en/anchor/n/wn/artifact,anchor,/c/en/sheet_anchor/n/wn/artifact,sheet anchor,/r/IsA,[[sheet anchor]] is a type of [[anchor]],2.0,/d/wordnet/3.1
/c/en/anchor/v/wn/contact,anchor,/c/en/ground/v/wn/contact,ground,/r/Synonym,[[ground]] is a synonym of [[anchor]],2.0,/d/wordnet/3.1
/c/en/ship,ship,/c/en/anchor,anchor,/r/RelatedTo,[[anchor]] is related to [[ship]],1.5270000000000001,/d/verbosity
/c/en/boat,boat,/c/en/anchor,anchor,/r/RelatedTo,[[anchor]] is related to [[boat]],1.2560000000000002,/d/verbosity
/c/en/anglerfish,anglerfish,/c/en/angler/n,angler,/r/Synonym,,2.0,/d/wiktionary/en
/c/en/angler/n/wn/person,angler,/c/en/troller/n/wn/person,troller,/r/Synonym,[[troller]] is a synonym of [[angler]],2.0,/d/wordnet/3.1
/c/en/fisher,fisher,/c/en/angler/n,angler,/r/Synonym,,2.0,/d/wiktionary/en
/c/en/fisherman/n/wn/person,fisherman,/c/en/angler/n/wn/person,angler,/r/IsA,[[angler]] is a type of [[fisherman]],2.0,/d/wordnet/3.1
/c/en/schemer/n/wn/person,schemer,/c/en/angler/n/wn/person,angler,/r/IsA,[[angler]] is a type of [[schemer]],2.0,/d/wordnet/3.1
/c/en/goosefish/n/wn/animal,goosefish,/c/en/angler/n/wn/animal,angler,/r/Synonym,[[angler]] is a synonym of [[goosefish]],2.0,/d/wordnet/3.1
/c/en/craftsman/n/wn/person,craftsman,/c/en/artisan/n/wn/person,artisan,/r/Synonym,[[artisan]] is a synonym of [[craftsman]],2.0,/d/wordnet/3.1
/c/en/break_record,break a record,/c/en/athlete,a athlete,/r/CapableOf,[[a athlete]] can [[break a record]],3.4641016151377544,/d/conceptnet/4/en
/c/en/attempt_to_break_world_record,attempt to break the world record,/c/en/athlete,An athlete,/r/CapableOf,[[An athlete]] can [[attempt to break the world record]],2.82842712474619,/d/conceptnet/4/en
/c/en/jump_high,jump high,/c/en/athlete,athlete,/r/CapableOf,[[athlete]] can [[jump high]],2.82842712474619,/d/conceptnet/4/en
/c/en/athlete/n/wn/person,athlete,/c/en/jock/n/wn/person,jock,/r/Synonym,[[jock]] is a synonym of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/pentathlete/n/wn/person,pentathlete,/r/IsA,[[pentathlete]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/bounder/n/wn/person,bounder,/r/IsA,[[bounder]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/sledder/n/wn/person,sledder,/r/IsA,[[sledder]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/swinger/n/wn/person,swinger,/r/IsA,[[swinger]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/gymnast/n/wn/person,gymnast,/r/IsA,[[gymnast]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/cricketer/n/wn/person,cricketer,/r/IsA,[[cricketer]] is a type of [[athlete]],2.0,/d/wordnet/3.1
/c/en/athlete/n/wn/person,athlete,/c/en/swimmer/n/wn/person,swimmer,/r/IsA,[[swimmer]] is a type of [[athlete]],2.0,/d/wordnet/3.1
